#,Game Title,Description,Genre,Age Rating,Price
1,Risk of Rain 2,Escape a chaotic alien planet fighting hordes of monsters.,Action Roguelike,17+,24.99
2,Call of Duty: Black Ops III,Cinematic campaign and intense multiplayer battles.,FPS Shooter,17+,59.99
3,Titanfall 2,Fast-paced combat with pilots and mechs.,Sci‑Fi Shooter,17+,29.99
4,Grand Theft Auto V,Explore a massive open-world city full of missions.,Open World Action,17+,29.99
5,Minecraft,"Build, explore, and survive in blocky worlds.",Sandbox Survival,10+,26.95
6,Hades,Battle through the Underworld in a fast roguelike.,Action Roguelike,13+,24.99
7,Stardew Valley,"Farm, fish, mine, and build relationships.",Farming Sim,13+,14.99
8,Baldur’s Gate 3,Lead a party through a fantasy world of choices.,RPG,17+,59.99
9,Subnautica,Explore and survive in an alien ocean.,Survival Adventure,13+,29.99
10,Phasmophobia,Hunt ghosts with paranormal tools.,Horror Co‑op,17+,13.99
11,Terraria,"Explore, craft, and fight in a 2D world.",Sandbox Adventure,13+,9.99
12,Elden Ring,Explore a vast open world full of danger.,Action RPG,17+,59.99
13,Cyberpunk 2077,Futuristic open-world RPG with deep story.,Open World RPG,17+,59.99
14,Red Dead Redemption 2,Epic western adventure with open-world freedom.,Open World Action,17+,59.99
15,Apex Legends,Hero-based battle royale shooter.,Battle Royale,13+,0
16,Dota 2,5v5 competitive MOBA battles.,MOBA,13+,0
17,Counter‑Strike 2,Tactical 5v5 competitive shooter.,FPS Shooter,17+,0
18,Valorant,Hero-based tactical shooter.,Tactical Shooter,13+,0
19,Team Fortress 2,Class-based team shooter.,FPS Shooter,13+,0
20,Warframe,Fast co‑op looter shooter.,Sci‑Fi Shooter,13+,0
21,Destiny 2,Online looter shooter with raids.,FPS MMO,13+,0
22,Rust,"Survive, build, and raid in a harsh world.",Survival PvP,17+,39.99
23,The Forest,Survive cannibals on a remote island.,Survival Horror,17+,19.99
24,Sons of the Forest,Survive and build in a dangerous forest.,Survival Horror,17+,29.99
25,ARK: Survival Evolved,Survive dinosaurs and build bases.,Survival Sandbox,13+,19.99
26,No Man’s Sky,Explore infinite planets and galaxies.,Space Exploration,13+,59.99
27,Euro Truck Simulator 2,Drive trucks across Europe.,Driving Sim,10+,19.99
28,American Truck Simulator,Drive trucks across the U.S.,Driving Sim,10+,19.99
29,Cities: Skylines II,Build and manage a growing city.,City Builder,13+,49.99
30,Factorio,Build automated factories and defend them.,Automation Sim,10+,35
31,RimWorld,Manage a colony on a distant planet.,Colony Sim,13+,34.99
32,The Sims 4,Live out virtual life stories.,Life Sim,13+,0
33,Football Manager 2024,Manage a soccer team to victory.,Sports Sim,13+,59.99
34,FIFA 23,Realistic soccer matches and modes.,Sports,10+,59.99
35,Rocket League,Cars playing soccer at high speed.,Sports Arcade,10+,0
36,Forza Horizon 5,Open-world racing across Mexico.,Racing,10+,59.99
37,Need for Speed Heat,Street racing with police chases.,Racing,13+,59.99
38,Street Fighter 6,Competitive 1v1 fighting.,Fighting,13+,59.99
39,Tekken 8,Fast-paced 1v1 fighting.,Fighting,13+,69.99
40,Mortal Kombat 11,Brutal 1v1 fighting.,Fighting,17+,49.99
41,Portal 2,Solve puzzles with portals.,Puzzle,10+,9.99
42,Portal,First-person puzzle adventure.,Puzzle,10+,9.99
43,Hollow Knight,Explore a vast insect kingdom.,Metroidvania,13+,14.99
44,Dead Cells,Fast-paced roguelite platformer.,Roguelite,13+,24.99
45,Slay the Spire,Build decks and climb the spire.,Card Roguelike,13+,24.99
46,Vampire Survivors,Survive waves of enemies.,Bullet Heaven,13+,4.99
47,Celeste,Precision platforming with story.,Platformer,10+,19.99
48,Ori and the Blind Forest,Emotional platforming adventure.,Platformer,10+,19.99
49,Left 4 Dead 2,Co‑op zombie survival.,Co‑op Shooter,17+,9.99
50,Five Nights at Freddy’s,Survive animatronic horrors.,Horror,13+,4.99
51,Inside,"A dark, atmospheric puzzle adventure.",Puzzle Adventure,13+,19.99
52,Limbo,A haunting 2D puzzle platformer.,Puzzle Platformer,13+,9.99
53,Don’t Starve,"Survive in a strange, hostile wilderness.",Survival,13+,9.99
54,Don’t Starve Together,Co‑op survival in a bizarre world.,Survival Co‑op,13+,14.99
